locationId,locationType,name,regionId
2183,PORT,"Apalachicola, FL",2
2413,PORT,"Aransas Pass, TX",2
2133,PORT,"Arecibo, PR",2
2252,PORT,"Baton Rouge, LA",2
2395,PORT,"Beaumont, TX",2
2002,PORT,"Biloxi, MS",2
2424,PORT,"Brazos Island Harbor, TX",2
2420,PORT,"Brownsville, TX",2
2182,PORT,"Carrabelle, FL",2
2300,PORT,"Caruthersville Harbor, MO",2
2129,PORT,"Cedar Key, FL",2
2116,PORT,"Charlotte, FL",2
2372,PORT,"Chattanooga, TN",2
2196,PORT,"Chickasaw Creek, AL",2
2157,PORT,"Christiansted, St Croix, VI",2
2338,PORT,"Cincinnati-Northern KY, Ports of",2
2266,PORT,"Claiborne County Port, MS",2
2423,PORT,"Corpus Christi, TX",2
2414,PORT,"Corpus Christi, TX (Excluding Harbor Island)",2
2194,PORT,"Dauphin Island, AL",2
2090,PORT,"Dog and Fowl Rivers, AL",2
2298,PORT,"Elvis Stahr Harbor, KY",2
2112,PORT,"Everglades Harbor, Collier County, FL",2
2193,PORT,"Fairhope, AL",2
2139,PORT,"Fajardo, PR",2
2114,PORT,"Fort Myers Beach, FL",2
2408,PORT,"Freeport, TX",2
2417,PORT,"Galveston, TX",2
2271,PORT,"Greenville, MS",2
2148,PORT,"Guayanes, PR",2
2083,PORT,"Gulfport, MS",2
2371,PORT,"Guntersville, AL",2
2418,PORT,"Harbor Island, TX",2
2293,PORT,"Helena, AR",2
2131,PORT,"Horseshoe Cove, FL",2
2012,PORT,"Houston, TX",2
2348,PORT,Huntington - Tristate,2
2030,PORT,"Iberia, LA",2
2385,PORT,"Kansas City, MO",2
2307,PORT,"Kaskaskia, IL, Port of",2
2373,PORT,"Knoxville, TN",2
2254,PORT,"Lake Charles, LA",2
2269,PORT,"Lake Providence, LA",2
2120,PORT,"Little Manatee River, FL",2
2333,PORT,"Louisville, KY",2
2267,PORT,"Madison Parish, LA, Port of",2
2410,PORT,"Matagorda Port Lv Pt Com, TX",2
2154,PORT,"Mayaguez, PR",2
2294,PORT,"Memphis, TN",2
2321,PORT,"Minneapolis, MN",2
2005,PORT,"Mobile, AL",2
2087,PORT,"Morgan City, LA, Port of",2
2332,PORT,"Mount Vernon, IN",2
2370,PORT,"Nashville, TN",2
2270,PORT,"Natchez, MS",2
2288,PORT,"New Madrid County, MO, Port of",2
2296,PORT,"New Madrid Harbor, MO",2
2251,PORT,"New Orleans, LA",2
2394,PORT,"Orange, TX",2
2297,PORT,"Osceola Harbor, AR",2
2331,PORT,"Owensboro, KY",2
2409,PORT,"Palacios, TX",2
2181,PORT,"Panacea, FL",2
2016,PORT,"Panama City, FL",2
2004,PORT,"Pascagoula, MS",2
2207,PORT,"Pass Christian, MS",2
2007,PORT,"Pensacola, FL",2
2358,PORT,"Pittsburgh, PA",2
2255,PORT,"Plaquemines, LA, Port of",2
2151,PORT,"Ponce, PR",2
2416,PORT,"Port Arthur, TX",2
2396,PORT,"Port Bolivar, TX",2
1910,PORT,"Port Fourchon, LA",2
2422,PORT,"Port Isabel, TX",2
2023,PORT,"Port Manatee, FL",2
2421,PORT,"Port Mansfield, TX",2
2412,PORT,"Rockport, TX",2
2268,PORT,"Rosedale, MS",2
2136,PORT,"San Juan, PR",2
7710,PORT,"Seneca, IL",2
2253,PORT,"South Louisiana, LA, Port of",2
2301,PORT,"Southeast Missouri Port, MO",2
2185,PORT,"St. Joe Harbor, FL",2
2310,PORT,"St. Louis, MO and IL",2
2320,PORT,"St. Paul, MN",2
2119,PORT,"St. Petersburg, FL",2
2143,PORT,"St. Thomas, VI",2
2021,PORT,"Tampa, FL",2
2224,PORT,"Terrebonne, LA, Port of",2
2404,PORT,"Texas City, TX",2
2195,PORT,"Three Mile Creek, AL",2
6109,PORT,"Tulsa, Port of Catoosa, OK",2
2276,PORT,"Vicksburg, MS",2
2411,PORT,"Victoria, TX",2
2186,PORT,"Watson Bayou, FL",2
2292,PORT,"Wolf River, TN",2
2029,PORT,"Yellow Bend Port, AR",2
